date,low,average,high
2021-04-15T10:38:30.739880,82,102,172
2021-04-15T10:39:10.253585,79,99,101
2021-04-15T10:39:50.379604,79,99,104
2021-04-15T10:40:32.114744,78,98,99
2021-04-15T10:41:13.350615,79,99,122
2021-04-15T10:41:50.712884,79,99,100
2021-04-15T10:42:30.632589,77,97,101
2021-04-15T10:43:11.071904,79,99,104
2021-04-15T10:43:50.292271,75,96,104
2021-04-15T10:44:31.164569,75,96,104
2021-04-15T10:45:11.086582,75,96,107
2021-04-15T10:45:50.328423,75,96,107
2021-04-15T10:46:30.241423,84,96,98
2021-04-15T10:47:10.723622,84,96,108
2021-04-15T10:47:50.023874,84,93,102
2021-04-15T10:48:30.310492,84,90,96
2021-04-15T10:49:09.857838,84,97,109
2021-04-15T10:49:51.148246,90,99,109
2021-04-15T10:50:31.358778,90,99,109
2021-04-15T10:51:11.359576,90,100,109
2021-04-15T10:51:51.743935,90,96,99
2021-04-15T10:52:31.643573,90,93,109
2021-04-15T10:53:10.982874,90,101,109
2021-04-15T10:53:52.446121,90,93,95
2021-04-15T10:54:30.860666,90,106,109
2021-04-15T10:55:10.591150,90,102,109
2021-04-15T10:55:50.958110,90,101,109
2021-04-15T10:56:30.708788,90,95,109
2021-04-15T10:57:11.532821,90,99,109
2021-04-15T10:58:30.841925,93,101,109
2021-04-15T10:58:34.562865,93,101,109
2021-04-15T10:59:53.108774,93,103,109
2021-04-15T10:59:57.265308,93,103,109
2021-04-15T11:01:16.471215,93,102,103
2021-04-15T11:01:20.329582,93,102,103
2021-04-15T11:01:51.228912,93,102,124
2021-04-15T11:02:31.291398,91,95,110
2021-04-15T11:03:11.269778,91,93,110
2021-04-15T11:03:56.516623,90,93,110
2021-04-15T11:05:10.103131,88,99,110
2021-04-15T11:05:13.741141,88,99,110
2021-04-15T11:05:54.370388,88,96,102
2021-04-15T11:06:31.110958,84,101,110
2021-04-15T11:07:10.638105,84,100,109
2021-04-15T11:07:51.006867,84,102,111
2021-04-15T11:08:31.050102,84,96,109
2021-04-15T11:09:10.769299,84,90,103
2021-04-15T11:09:51.353031,84,96,109
2021-04-15T11:10:31.405872,84,93,109
2021-04-15T11:11:10.751049,84,92,103
2021-04-15T11:11:50.804819,83,97,109
2021-04-15T11:13:11.952873,83,103,109
2021-04-15T11:13:15.923297,83,103,109
2021-04-15T11:13:50.738374,82,102,109
2021-04-15T11:14:30.935831,74,96,106
2021-04-15T11:15:11.481122,74,93,103
2021-04-15T11:15:51.804250,81,101,109
2021-04-15T11:16:44.885305,74,96,109
2021-04-15T11:17:10.784056,74,96,109
2021-04-15T11:17:50.576141,74,93,109
2021-04-15T11:19:09.951169,74,94,103
2021-04-15T11:19:13.723027,74,94,103
2021-04-15T11:20:25.555559,74,93,108
2021-04-15T11:20:37.229410,74,93,108
2021-04-15T11:21:10.735280,74,95,108
2021-04-15T11:21:51.011126,74,93,108
2021-04-15T11:23:09.752453,74,96,108
2021-04-15T11:23:13.864126,74,94,107
2021-04-15T11:23:50.927871,79,93,108
2021-04-15T11:24:32.096832,82,98,108
2021-04-15T11:25:10.589316,82,93,103
2021-04-15T11:25:49.759516,82,95,108
2021-04-15T11:26:30.663954,82,100,108
2021-04-15T11:27:09.761497,82,95,106
2021-04-15T11:27:50.797614,82,90,108
2021-04-15T11:28:29.177340,82,85,105
2021-04-15T11:29:09.151378,82,95,105
2021-04-15T11:29:48.870612,82,93,105
2021-04-15T11:31:07.714568,82,95,105
2021-04-15T11:31:09.814497,82,95,105
2021-04-15T11:31:48.551049,82,93,105
2021-04-15T11:32:28.134778,82,95,105
2021-04-15T11:33:08.944669,82,89,119
2021-04-15T11:33:49.032508,82,87,96
2021-04-15T11:35:06.274988,82,89,95
2021-04-15T11:35:08.207594,82,89,95
2021-04-15T11:35:48.578525,84,95,105
